Date,Open,High,Low,Close,Volume
2023-05-01,30.95,30.15,29.35,29.55,160525
2023-05-02,29.55,29.05,28.25,28.75,156138
2023-05-03,28.75,28.25,27.45,27.95,154987
2023-05-04,27.95,27.45,26.65,27.15,167437
2023-05-05,27.15,26.65,25.85,26.35,154601
2023-05-06,26.35,25.85,25.05,25.55,139895
2023-05-07,25.55,25.05,24.25,24.75,169750
2023-05-08,24.75,24.25,23.45,23.95,158479
2023-05-09,23.95,23.45,22.65,23.15,167904
2023-05-10,23.15,22.65,21.85,22.35,153493
2023-05-11,22.35,22.85,22.30,22.85,106469
2023-05-12,22.85,23.35,22.80,23.35,107741
2023-05-13,23.35,23.85,23.30,23.85,101838
2023-05-14,23.85,24.35,23.80,24.35,115961
2023-05-15,24.35,24.85,24.30,24.85,102850
2023-05-16,24.85,25.35,24.80,25.35,112972
2023-05-17,25.35,25.85,25.30,25.85,103909
2023-05-18,25.85,26.35,25.80,26.35,108013
2023-05-19,26.35,26.85,26.30,26.85,108534
2023-05-20,26.85,27.35,26.80,27.35,106471
2023-05-21,27.35,27.85,27.30,27.85,93838
2023-05-22,27.85,28.35,27.80,28.35,93071
2023-05-23,28.35,28.85,28.30,28.85,95176
2023-05-24,28.85,29.35,28.80,29.35,88733
2023-05-25,29.35,29.85,29.30,29.85,106312
2023-05-26,29.85,30.35,29.80,30.35,70599
2023-05-27,30.35,30.85,30.30,30.85,107979
2023-05-28,30.85,31.35,30.80,31.35,103499
2023-05-29,31.35,31.85,31.30,31.85,105240
2023-05-30,31.85,32.35,31.80,32.35,109109
2023-05-31,32.35,32.85,32.30,32.85,101317
2023-06-01,32.85,33.35,32.80,33.35,108488
2023-06-02,33.35,33.85,33.30,33.85,98859
2023-06-03,33.85,34.35,33.80,34.35,105927
2023-06-04,34.35,34.85,34.30,34.85,103273
2023-06-05,34.85,35.35,34.80,35.35,90484
2023-06-06,35.35,35.85,35.30,35.85,99144
2023-06-07,35.85,36.35,35.80,36.35,102108
2023-06-08,36.35,36.85,36.30,36.85,103881
2023-06-09,36.85,37.35,36.80,37.35,101887
2023-06-10,37.35,36.95,36.15,36.75,142198
2023-06-11,36.75,36.35,35.55,36.15,152856
2023-06-12,36.15,35.75,34.95,35.55,147393
2023-06-13,35.55,35.15,34.35,34.95,157429
2023-06-14,34.95,34.55,33.75,34.35,156869
2023-06-15,34.35,33.95,33.15,33.75,160883
2023-06-16,33.75,33.35,32.55,33.15,138549
2023-06-17,33.15,32.75,31.95,32.55,167693
2023-06-18,32.55,32.15,31.35,31.95,147195
2023-06-19,31.95,31.55,30.75,31.35,152744
2023-06-20,31.35,30.95,30.15,30.75,136399
2023-06-21,30.75,30.35,29.55,30.15,168910
2023-06-22,30.15,29.75,28.95,29.55,149546
2023-06-23,29.55,29.15,28.35,28.95,151154
2023-06-24,28.95,28.55,27.75,28.35,157182
2023-06-25,28.35,28.85,28.30,28.85,92216
2023-06-26,28.85,29.35,28.80,29.35,95502
2023-06-27,29.35,29.85,29.30,29.85,105707
2023-06-28,29.85,30.35,29.80,30.35,84808
2023-06-29,30.35,30.85,30.30,30.85,107098
2023-06-30,30.85,31.35,30.80,31.35,100097
2023-07-01,31.35,31.85,31.30,31.85,104365
2023-07-02,31.85,32.35,31.80,32.35,86163
2023-07-03,32.35,32.85,32.30,32.85,97412
2023-07-04,32.85,33.35,32.80,33.35,107589
2023-07-05,33.35,33.85,33.30,33.85,86872
2023-07-06,33.85,34.35,33.80,34.35,101828
2023-07-07,34.35,34.85,34.30,34.85,88912
2023-07-08,34.85,35.35,34.80,35.35,107703
2023-07-09,35.35,35.85,35.30,35.85,104282
2023-07-10,35.85,36.35,35.80,36.35,95939
2023-07-11,36.35,36.85,36.30,36.85,104603
2023-07-12,36.85,37.35,36.80,37.35,92561
2023-07-13,37.35,37.85,37.30,37.85,100581
2023-07-14,37.85,38.35,37.80,38.35,89829
2023-07-15,38.35,37.55,36.75,36.95,168834
2023-07-16,36.95,36.45,35.65,36.15,147734
2023-07-17,36.15,35.65,34.85,35.35,165236
2023-07-18,35.35,34.85,34.05,34.55,153929
2023-07-19,34.55,34.05,33.25,33.75,148830
2023-07-20,33.75,33.25,32.45,32.95,158773
2023-07-21,32.95,32.45,31.65,32.15,158865
2023-07-22,32.15,31.65,30.85,31.35,146577
2023-07-23,31.35,30.85,30.05,30.55,157538
2023-07-24,30.55,30.05,29.25,29.75,150192
2023-07-25,29.75,30.25,29.70,30.25,105889
2023-07-26,30.25,30.75,30.20,30.75,92105
2023-07-27,30.75,31.25,30.70,31.25,108000
2023-07-28,31.25,31.75,31.20,31.75,101406
2023-07-29,31.75,32.25,31.70,32.25,101466
2023-07-30,32.25,32.75,32.20,32.75,109719
2023-07-31,32.75,33.25,32.70,33.25,97607
2023-08-01,33.25,33.75,33.20,33.75,104084
2023-08-02,33.75,34.25,33.70,34.25,91289
2023-08-03,34.25,34.75,34.20,34.75,107158
2023-08-04,34.75,35.25,34.70,35.25,100201
2023-08-05,35.25,35.75,35.20,35.75,99068
2023-08-06,35.75,36.25,35.70,36.25,102324
2023-08-07,36.25,36.75,36.20,36.75,101953
2023-08-08,36.75,37.25,36.70,37.25,108638
2023-08-09,37.25,37.75,37.20,37.75,100945
2023-08-10,37.75,38.25,37.70,38.25,99313
2023-08-11,38.25,38.75,38.20,38.75,107027
2023-08-12,38.75,39.25,38.70,39.25,102255
2023-08-13,39.25,39.75,39.20,39.75,99588
2023-08-14,39.75,40.25,39.70,40.25,107799
2023-08-15,40.25,40.75,40.20,40.75,101077
2023-08-16,40.75,41.25,40.70,41.25,83812
2023-08-17,41.25,41.75,41.20,41.75,107810
2023-08-18,41.75,42.25,41.70,42.25,100966
2023-08-19,42.25,42.75,42.20,42.75,95404
2023-08-20,42.75,43.25,42.70,43.25,105847
2023-08-21,43.25,43.75,43.20,43.75,97893
2023-08-22,43.75,44.25,43.70,44.25,95765
2023-08-23,44.25,43.85,43.05,43.65,123951
2023-08-24,43.65,43.25,42.45,43.05,153051
2023-08-25,43.05,42.65,41.85,42.45,141802
2023-08-26,42.45,42.05,41.25,41.85,169126
2023-08-27,41.85,41.45,40.65,41.25,150845
2023-08-28,41.25,40.85,40.05,40.65,141181
2023-08-29,40.65,40.25,39.45,40.05,151136
2023-08-30,40.05,39.65,38.85,39.45,153592
2023-08-31,39.45,39.05,38.25,38.85,162818
2023-09-01,38.85,38.45,37.65,38.25,155924
2023-09-02,38.25,37.85,37.05,37.65,145282
2023-09-03,37.65,37.25,36.45,37.05,159268
2023-09-04,37.05,36.65,35.85,36.45,149778
2023-09-05,36.45,36.05,35.25,35.85,163852
2023-09-06,35.85,35.45,34.65,35.25,160095
