Date,Open,High,Low,Close,Volume
2023-05-11,22.15,22.75,21.95,22.55,100000
2023-05-12,22.55,23.15,22.35,22.95,100000
2023-05-13,22.95,23.05,22.75,22.75,100000
2023-05-14,22.75,22.85,22.55,22.55,100000
2023-05-15,22.55,22.65,22.35,22.35,100000
2023-05-16,22.35,22.45,22.15,22.15,100000
2023-05-17,22.15,22.25,21.95,21.95,100000
2023-05-18,21.95,22.15,21.35,21.55,100000
2023-05-19,21.55,21.75,20.95,21.15,100000
2023-05-20,21.15,21.35,20.55,20.75,100000
2023-05-21,20.75,20.95,20.15,20.35,100000
2023-05-22,20.35,20.55,19.75,19.95,100000
2023-05-23,19.95,20.15,19.35,19.55,100000
2023-05-24,19.55,19.75,18.95,19.15,100000
2023-05-25,19.15,19.75,18.95,19.55,100000
2023-05-26,19.55,20.15,19.35,19.95,100000
2023-05-27,19.95,20.55,19.75,20.35,100000
2023-05-28,20.35,20.95,20.15,20.75,100000
2023-05-29,20.75,21.35,20.55,21.15,100000
2023-05-30,21.15,21.75,20.95,21.55,100000
2023-05-31,21.55,22.15,21.35,21.95,100000
2023-06-01,21.95,22.55,21.75,22.35,100000
2023-06-02,22.35,22.95,22.15,22.75,100000
2023-06-03,22.75,23.35,22.55,23.15,100000
2023-06-04,23.15,23.75,22.95,23.55,100000
2023-06-05,23.55,23.85,23.45,23.75,100000
2023-06-06,23.75,24.05,23.65,23.95,100000
2023-06-07,23.95,24.25,23.85,24.15,100000
2023-06-08,24.15,24.45,24.05,24.35,100000
2023-06-09,24.35,24.65,24.25,24.55,100000
2023-06-10,24.55,24.75,23.95,24.15,100000
2023-06-11,24.15,24.35,23.55,23.75,100000
2023-06-12,23.75,23.95,23.15,23.35,100000
2023-06-13,23.35,23.55,22.75,22.95,100000
2023-06-14,22.95,23.15,22.35,22.55,100000
2023-06-15,22.55,22.75,21.95,22.15,100000
2023-06-16,22.15,22.35,21.55,21.75,100000
